LOCATION_NUM,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LONGITUDE,LATITUDE,SN,Route
0,44,TELOK BLANGAH DRIVE,BLANGAH COURT,44 TELOK BLANGAH DRIVE BLANGAH COURT SINGAPORE 100044,100044,25503.59692,28211.46086,103.8108875,1.271408833,0,
1,309,CLEMENTI AVENUE 4,CLEMENTI MEADOWS,309 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120309,120309,20550.12946,33686.21934,103.7663776,1.320919814,1,
2,326,CLEMENTI AVENUE 5,NIL,326 CLEMENTI AVENUE 5 SINGAPORE 120326,120326,20547.96557,32968.69887,103.7663583,1.314430816,2,
3,509,WEST COAST DRIVE,STAR KIDSCAMPUS,509 WEST COAST DRIVE STAR KIDSCAMPUS SINGAPORE 120509,120509,19953.57631,32606.79811,103.7610175,1.311157766,3,
4,701,WEST COAST ROAD,NIL,701 WEST COAST ROAD SINGAPORE 120701,120701,19993.49918,32214.71758,103.7613764,1.307611942,4,
5,311B,CLEMENTI AVENUE 4,TRIVELIS,311B CLEMENTI AVENUE 4 TRIVELIS SINGAPORE 122311,122311,20469.08881,33523.331,103.7656494,1.319446691,5,
6,2,CLEMENTI WEST STREET 2,ACEKIDZ @ COMMUNITY,2 CLEMENTI WEST STREET 2 ACEKIDZ @ COMMUNITY SINGAPORE 129605,129605,20378.07229,31665.55051,103.7648321,1.302645569,6,
7,166,STIRLING ROAD,STIRLING VIEW,166 STIRLING ROAD STIRLING VIEW SINGAPORE 140166,140166,24554.90336,30344.55085,103.8023629,1.29069966,7,
8,3,JALAN BUKIT MERAH,BRICKWORKS ESTATE,3 JALAN BUKIT MERAH BRICKWORKS ESTATE SINGAPORE 150003,150003,25071.02086,29950.22349,103.8070005,1.287133555,8,
9,81,REDHILL LANE,NIL,81 REDHILL LANE SINGAPORE 150081,150081,26461.3983,30019.28068,103.8194936,1.287758183,9,
10,125,KIM TIAN ROAD,NIL,125 KIM TIAN ROAD SINGAPORE 160125,160125,27422.33705,29563.32105,103.8281281,1.283634676,10,
11,145,JALAN BUKIT MERAH,NIL,145 JALAN BUKIT MERAH SINGAPORE 160145,160145,27688.05638,28862.14941,103.8305157,1.277293529,11,
